Time (sec), Engine RPM (RPM), Intake air temperature (°F), Mass air flow rate (g/s), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Vehicle speed (MPH), O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1), Barometric pressure (inHg)
22.583,2762,41,9,0,-9.375,12.42742,1.00113,25.2
23.342,2829.5,41,8.75,0,-9.375,13.04879,1.00113,25.2
24.314,2906,41,9,0,-9.375,13.04879,1.00113,25.2
25.327,3056.5,41,8.75,0,-9.375,13.67017,1.00113,25.2
26.32,3210.5,41,9.25,0,-9.375,14.29154,1.00113,25.2
27.104,3351.5,41,9.75,0,-9.375,15.53428,1.00113,25.2
27.7,3407.5,41,10,0,-9.375,15.53428,1.00113,25.2
28.403,3421.5,41,10,0,-9.375,15.53428,1.00113,25.2
29.007,3418,41,10.25,0,-9.375,16.15565,1.00308,25.2
29.716,3360.5,41,9.75,0,-9.375,16.15565,1.00113,25.2
30.477,3253.25,41,9.75,0,-9.375,15.53428,1.00113,25.2
31.443,2946.5,41,9.25,0,-9.375,14.29154,1.00113,25.2
32.227,2554.75,41,7.75,0,-9.375,13.04879,1.00113,25.2
33.042,2075.5,41,6.75,0,-9.375,10.56331,0.99942,25.2
33.677,1763,41,5.75,0,-9.375,9.32057,0.99942,25.2
34.373,1632,41,5.75,0,-9.375,8.07783,1.00308,25.2
34.975,1640.75,42.8,14.25,0,-9.375,7.45645,1.00308,25.2
35.604,1777.25,42.8,14.75,0,-9.375,7.45645,1.00113,25.2
36.222,1909,42.8,15.25,0,-9.375,8.07783,1.00113,25.2
36.903,2122.25,42.8,16.5,0,-9.375,9.32057,1.00113,25.2
37.511,2329.5,41,17,0,-9.375,9.94194,1.00308,25.2
38.24,2636.25,41,20.5,0,-9.375,10.56331,1.00113,25.2
39.148,2879.5,41,17.75,0,-9.375,12.42742,1.00113,25.2
40.385,3023.25,41,13.75,0,-9.375,13.04879,1.00308,25.2
41.179,3192.75,39.2,12.75,0,-9.375,14.29154,1.00113,25.2
41.879,3406.75,39.2,13.25,0,-9.375,15.53428,1.00113,25.2
42.477,3587.5,39.2,13.25,0,-9.375,15.53428,1.00113,25.2
43.203,3715.5,39.2,13.25,0,-9.375,16.15565,1.00308,25.2
43.821,3872.25,39.2,12,0,-9.375,16.77702,1.00113,25.2
44.433,3855.5,39.2,11.75,0,-9.375,17.39839,0.99942,25.2
45.084,3283.5,39.2,10.25,0,-9.375,17.39839,1.00113,25.2
46.076,2420.25,39.2,7.25,0,-9.375,18.64114,1.00113,25.2
46.884,1996,41,9,0,-9.375,19.88388,1.00308,25.2
47.734,2585.5,41,10.25,0,-9.375,20.50525,1.00308,25.2
48.629,2671.5,41,9,0,-9.375,21.74799,0.99796,25.2
49.378,2770.75,41,9,0,-9.375,22.36936,0.99064,25.2
49.996,2762.75,41,8.25,0,-9.375,22.99073,0.9843,25.2
50.688,2770.25,41,9,0,-9.375,22.99073,0.97429,25.2
51.485,2769.75,41,11.25,0,-9.375,22.99073,0.95428,25.2
52.18,2783.75,41,13,0,-9.375,22.99073,0.9921,25.2
52.81,2803,41,12,0,-9.375,22.99073,0.98064,25.2
53.403,2821.5,41,9.25,0,-9.375,22.99073,0.93379,25.2
53.984,2848.25,41,9,0,-9.375,23.6121,0.92159,25.2
54.683,2871.75,41,8,0,-9.375,23.6121,0.915,25.2
55.279,2905,41,8,0,-9.375,23.6121,0.94184,25.2
55.975,2949.75,41,8.25,0,-9.375,24.85485,0.94184,25.2
56.602,2971.75,41,8.25,0,-9.375,24.85485,0.95941,25.2
57.295,2984.25,41,8.5,0,-9.375,24.85485,0.95672,25.2
57.88,2993.25,41,8.5,-0.78125,-9.375,24.85485,0.98064,25.2
58.475,2960.25,41,8.25,0,-9.375,24.85485,0.9965,25.2
59.08,2911.25,41,8,0.78125,-9.375,24.85485,0.98308,25.2
59.783,2846.75,41,8,0.78125,-9.375,23.6121,0.9965,25.2
60.376,2786,41,7.75,1.5625,-9.375,23.6121,0.98796,25.2
60.983,2769.25,41,9,3.125,-9.375,22.99073,1.00674,25.2
61.578,2757.75,41,9.25,5.46875,-9.375,22.99073,0.99064,25.2
62.315,2765.25,41,9.25,4.6875,-9.375,22.99073,0.97673,25.2
62.925,2768.5,41,9,-2.34375,-9.375,22.99073,0.97429,25.2
63.532,2781,41,9.75,-3.125,-9.375,22.99073,0.99796,25.2
64.138,2811.75,41,9.25,-2.34375,-9.375,22.99073,0.9455,25.2
64.883,2835.75,41,8,-9.375,-9.375,22.99073,0.96185,25.2
65.502,2858.5,41,7.75,-7.03125,-9.375,23.6121,1.02431,25.2
66.108,2890.5,41,8.25,-3.90625,-9.375,23.6121,1.01772,25.2
66.68,2918.5,41,8,-3.125,-9.375,23.6121,1.00113,25.2
67.503,2934.5,41,8.25,-3.90625,-9.375,24.85485,1.02431,25.2
68.131,2984,41,8.25,3.125,-9.375,24.85485,1.00308,25.2
68.716,3018,41,8.5,3.125,-9.375,24.85485,0.97795,25.2
69.417,3009.75,41,8.5,0,-9.375,25.47622,1.99882,25.2
70.118,2995.75,41,8.25,0,-9.375,25.47622,1.99882,25.2
70.769,2979.25,41,8.5,0,-9.375,24.85485,1.99882,25.2
71.395,2904.5,41,8.25,0,-9.375,24.85485,1.2344,25.2
72.063,2890.5,41,9.75,14.0625,-9.375,24.85485,1.02602,25.2
72.785,2855,41,17,17.96875,-9.375,23.6121,0.90939,25.2
73.395,2963.75,41,11.5,0.78125,-9.375,24.85485,0.94062,25.2
74.051,2944.25,41,11.75,2.34375,-9.375,24.85485,1.00674,25.2
74.714,2977.75,41,14.25,4.6875,-9.375,24.85485,1.00796,25.2
75.41,3034.25,41,16,7.8125,-9.375,24.85485,0.98308,25.2
76.002,3100,39.2,16.5,5.46875,-9.375,25.47622,0.95941,25.2
76.645,3143,39.2,15.25,0.78125,-9.375,26.09759,0.96185,25.2
77.279,3185.25,39.2,15.25,0.78125,-9.375,26.09759,0.99064,25.2
78.005,3222.5,39.2,14,-4.6875,-9.375,26.71896,0.98942,25.2
78.649,3238.25,39.2,13,-7.03125,-9.375,26.71896,0.99503,25.2
79.265,3259.25,39.2,10.75,-8.59375,-9.375,26.71896,0.98186,25.2
79.948,3227.5,39.2,9.5,-12.5,-9.375,26.71896,1.02602,25.2
80.685,3163.75,39.2,8.75,0,-9.375,26.71896,1.46571,25.2
81.329,3088,41,8.75,0,-9.375,26.09759,1.99882,25.2
81.948,2970,41,8.25,0,-9.375,25.47622,1.99882,25.2
82.593,2895,41,8.25,0,-9.375,24.85485,1.29393,25.2
83.489,2839,41,7.75,1.5625,-9.375,23.6121,1.02602,25.2
84.302,2805.25,41,7.75,6.25,-9.375,23.6121,0.925,25.2
84.999,2758.25,41,7.75,0.78125,-9.375,22.99073,0.93818,25.2
85.66,2679,41,7.75,0,-9.375,22.99073,1.99882,25.2
86.409,2595.5,41,7.25,0,-9.375,22.36936,1.99882,25.2
87.027,2532.25,41,7.25,0,-9.375,21.74799,1.99882,25.2
87.669,2437.5,41,7.25,0,-9.375,20.50525,1.99882,25.2
88.283,2353.25,41,7,0,-9.375,19.88388,1.99882,25.2
89.034,2240,41,6.5,0,-9.375,19.26251,1.99882,25.2
89.636,2114.5,41,6.25,0,-9.375,18.64114,1.99882,25.2
90.28,1915.25,41,5.5,0,-9.375,16.77702,1.99882,25.2
90.905,1453.25,41,5,0,-9.375,16.15565,1.99882,25.2
91.706,1142,41,4.25,0,-9.375,13.67017,1.39544,25.2
92.321,990.75,42.8,4,0,-9.375,13.04879,1.14753,25.2
92.976,866.75,42.8,3.75,8.59375,-9.375,11.18468,1.07531,25.2
93.574,809.75,42.8,3.5,13.28125,-9.375,9.32057,1.00308,25.2
94.281,798.5,42.8,3.25,12.5,-9.375,7.45645,0.95794,25.2
95.017,790.25,42.8,3.5,10.9375,-9.375,6.21371,0.93696,25.2
95.634,780.25,42.8,3.25,9.375,-9.375,4.3496,0.93476,25.2
96.278,783.25,42.8,3.5,8.59375,-9.375,3.10686,0.9494,25.2
97.023,782,42.8,3.25,8.59375,-9.375,1.86411,0.94672,25.2
97.669,788.25,42.8,3.5,9.375,-9.375,1.24274,0.94062,25.2
98.269,794,42.8,3.5,2.34375,-9.375,0.62137,0.97063,25.2
98.89,797.5,42.8,3.5,2.34375,-9.375,0.62137,0.98308,25.2
99.636,789.25,42.8,3.25,2.34375,-9.375,0.62137,0.98942,25.2
100.282,789.5,42.8,3.25,1.5625,-9.375,0.62137,0.98942,25.2
100.927,992,42.8,6,2.34375,-9.375,0.62137,1.01089,25.2
101.521,664.5,42.8,8.75,5.46875,-9.375,1.24274,1.01772,25.2
102.276,975,42.8,8.25,3.125,-9.375,3.10686,0.93257,25.2
102.945,1197,41,7,-4.6875,-9.375,3.72823,0.95794,25.2
103.556,1317,41,5.5,-5.46875,-9.375,4.97097,0.9494,25.2
104.205,1297.75,41,4.75,-7.8125,-9.375,6.21371,0.95794,25.2
104.959,1299,41,6,-9.375,-9.375,6.21371,1.05872,25.2
105.603,1412.25,42.8,12.5,0,-9.375,6.21371,1.07043,25.2
106.243,1656,42.8,15.75,5.46875,-9.375,6.83508,0.98064,25.2
106.938,2000,42.8,18.5,-2.34375,-9.375,8.07783,0.95794,25.2
107.657,2237.5,42.8,20.5,-7.03125,-9.375,9.94194,0.98064,25.2
108.318,2530.5,41,25,-3.125,-9.375,10.56331,0.97063,25.2
108.94,2941.25,41,27.75,-5.46875,-9.375,12.42742,1.0126,25.2
109.599,3240,41,28.25,-0.78125,-9.375,13.67017,0.9965,25.2
110.332,3507.5,41,29.75,0.78125,-9.375,14.29154,0.98942,25.2
110.994,3750.75,41,30.75,-2.34375,-9.375,16.15565,0.99357,25.2
111.598,4010.5,41,32,-3.125,-9.375,17.39839,0.9921,25.2
112.22,4187,41,33,-3.90625,-9.375,18.64114,0.95306,25.2
112.946,4128.25,41,9.25,-3.90625,-9.375,19.26251,0.81789,25.2
113.612,3072.75,39.2,8,0,-9.375,19.26251,1.25538,25.2
114.207,2185.25,39.2,7.5,0,-9.375,18.64114,1.20634,25.2
114.832,2210,39.2,26,3.90625,-9.375,18.64114,0.98186,25.2
115.573,2393.5,39.2,30.25,-3.90625,-9.375,18.64114,0.96795,25.2
116.203,2563.75,41,33.5,-2.34375,-9.375,19.88388,0.9921,25.2
116.867,2779.25,41,34.25,-1.5625,-9.375,21.74799,0.99503,25.2
117.471,2940,41,35.75,-3.90625,-9.375,22.99073,0.9921,25.2
118.233,3104.75,41,36.75,-3.90625,-9.375,24.85485,0.97942,25.2
118.884,3268.5,42.8,37.75,-5.46875,-9.375,26.09759,0.99796,25.2
119.52,3422.25,42.8,39,-2.34375,-9.375,27.9617,1.00943,25.2
120.166,3555.75,42.8,40,-3.125,-9.375,28.58307,0.98942,25.2
120.898,3695,42.8,40,-4.6875,-9.375,29.82582,0.9965,25.2
121.537,3827,42.8,40.75,-1.5625,-9.375,31.06856,0.9965,25.2
122.169,3935.25,42.8,41.5,-0.78125,-9.375,32.3113,0.9843,25.2
122.829,4052.25,42.8,42,0,-9.375,32.93267,0.9128,25.2
123.608,3874.25,42.8,7.5,0,-9.375,34.17542,0.79642,25.2
124.217,2988,41,7.5,0,-9.375,34.17542,1.27636,25.2
125.007,2628.75,41,18.25,0,-9.375,32.93267,1.04139,25.2
125.688,2633.5,41,32,-3.90625,-9.375,32.3113,0.97942,25.2
126.426,2701.75,41,32.5,-0.78125,-9.375,32.93267,1.00674,25.2
127.063,2784.75,42.8,36.75,0,-9.375,34.17542,0.99357,25.2
127.672,2856.5,42.8,36.75,-3.90625,-9.375,34.79679,1.00943,25.2
128.325,2903.5,42.8,25.75,-4.6875,-9.375,36.03953,0.99942,25.2
129.067,2906,42.8,24.25,-3.90625,-9.375,36.03953,1.0126,25.2
129.688,2925.75,42.8,24.25,-3.125,-9.375,36.03953,1.00308,25.2
130.293,2922.5,42.8,20.25,-5.46875,-9.375,37.28227,1.01431,25.2
130.949,2912.75,42.8,17.75,-3.90625,-9.375,37.28227,1.02944,25.2
131.712,2900.75,42.8,17.75,-1.5625,-9.375,37.28227,1.0209,25.2
132.327,2878.75,42.8,18,5.46875,-9.375,36.03953,0.98308,25.2
133.002,2884,42.8,17.5,3.90625,-9.375,36.03953,0.98308,25.2
133.619,2850.5,42.8,17.75,3.125,-9.375,36.03953,0.99064,25.2
134.365,2843.25,42.8,18,3.125,-9.375,36.03953,0.98308,25.2
135.008,2833.25,42.8,18.25,-2.34375,-9.375,35.41816,1.01431,25.2
135.713,2803,42.8,18,-1.5625,-9.375,35.41816,1.00943,25.2
136.335,2806.25,42.8,19.75,-0.78125,-9.375,35.41816,1.00552,25.2
137.04,2787.25,42.8,21,-2.34375,-9.375,35.41816,0.99942,25.2
137.653,2795.75,42.8,21,1.5625,-9.375,35.41816,0.9921,25.2
138.307,2780.75,42.8,20.75,2.34375,-9.375,35.41816,0.98942,25.2
138.959,2779.75,42.8,20.25,1.5625,-9.375,35.41816,0.99064,25.2
139.665,2790.75,42.8,21,2.34375,-9.375,34.79679,0.99064,25.2
140.31,2763.25,42.8,20.5,-2.34375,-9.375,34.79679,0.99796,25.2
140.949,2754.75,42.8,21.25,-3.125,-9.375,34.79679,1.00674,25.2
141.611,2745.5,42.8,21.75,-3.125,-9.375,34.79679,1.00552,25.2
142.38,2741.25,42.8,22,-3.125,-9.375,34.79679,1.00943,25.2
143.079,2752.25,42.8,21.5,-3.125,-9.375,34.79679,0.98796,25.2
143.774,2730.75,42.8,21,0.78125,-9.375,34.79679,0.9921,25.2
144.393,2745,42.8,20.5,1.5625,-9.375,34.79679,0.99503,25.2
145.193,2717.25,42.8,20.25,2.34375,-9.375,34.79679,0.99064,25.2
145.855,2718.5,42.8,19.5,-2.34375,-9.375,34.17542,1.01943,25.2
146.506,2712,42.8,19.5,-0.78125,-9.375,34.17542,1.01089,25.2
147.13,2704.25,42.8,20,-1.5625,-9.375,34.17542,1.00308,25.2
147.883,2689.25,42.8,19,-0.78125,-9.375,34.17542,1.00943,25.2
148.525,2678.25,42.8,20,3.125,-9.375,34.17542,0.98308,25.2
149.208,2666.5,42.8,19.25,2.34375,-9.375,34.17542,0.98796,25.2
149.832,2671.75,42.8,20.25,3.125,-9.375,34.17542,0.98674,25.2
150.568,2689.75,42.8,23.5,0.78125,-9.375,34.17542,0.98186,25.2
151.217,2700.5,42.8,22,-4.6875,-9.375,34.17542,1.0126,25.2
151.824,2702,42.8,22.25,-3.125,-9.375,34.17542,1.01431,25.2
152.456,2707.75,42.8,22.5,-2.34375,-9.375,34.17542,1.01089,25.2
153.214,2711.5,42.8,21.25,-2.34375,-9.375,34.17542,1.0043,25.2
153.904,2718,42.8,21.5,2.34375,-9.375,34.17542,0.9965,25.2
154.589,2724.75,42.8,21.25,1.5625,-9.375,34.17542,0.98552,25.2
155.221,2715.75,42.8,20.75,2.34375,-9.375,34.17542,0.99503,25.2
156.01,2725.5,42.8,20.5,2.34375,-9.375,34.17542,0.99503,25.2
156.651,2724.5,42.8,20.75,-2.34375,-9.375,34.17542,1.00674,25.2
157.316,2706.75,42.8,21,-1.5625,-9.375,34.17542,1.00943,25.2
157.979,2706.25,42.8,20.75,-2.34375,-9.375,34.17542,1.00796,25.2
158.758,2711,42.8,20.75,2.34375,-9.375,34.17542,0.9921,25.2
159.391,2713.75,42.8,21,2.34375,-9.375,34.17542,0.99357,25.2
159.981,2707,42.8,20.75,2.34375,-9.375,34.17542,0.99357,25.2
160.624,2708,42.8,20.5,2.34375,-9.375,34.17542,0.99064,25.2
161.387,2707.5,42.8,20.75,2.34375,-9.375,34.17542,0.99357,25.2
162.1,2701.25,42.8,20.5,-2.34375,-9.375,34.17542,1.0043,25.2
162.956,2694.75,42.8,19.75,-1.5625,-9.375,34.17542,1.0126,25.2
163.781,2682.5,42.8,20,2.34375,-9.375,34.17542,0.99064,25.2
164.658,2668,42.8,19.75,-1.5625,-9.375,34.17542,1.00552,25.2
165.293,2651,42.8,20,2.34375,-9.375,32.93267,0.98942,25.2
165.942,2630.75,42.8,19.75,3.125,-9.375,32.93267,0.99064,25.2
166.549,2632.5,42.8,20.75,1.5625,-9.375,32.93267,0.99357,25.2
167.276,2614.25,42.8,22,0.78125,-9.375,32.93267,0.99064,25.2
167.894,2627,42.8,23,-3.90625,-9.375,32.93267,1.00796,25.2
168.527,2633.5,42.8,24.5,-3.125,-9.375,32.93267,0.99942,25.2
169.187,2635.5,42.8,24,-3.90625,-9.375,32.93267,1.00674,25.2
169.935,2648.5,42.8,24.25,-3.90625,-9.375,32.93267,1.01431,25.2
170.578,2655.5,42.8,24.5,-3.125,-9.375,32.93267,1.00943,25.2
171.221,2654.5,42.8,23.75,1.5625,-9.375,32.93267,0.99796,25.2
171.854,2650,42.8,24.5,1.5625,-9.375,32.93267,0.9921,25.2
172.623,2665.5,42.8,23.75,2.34375,-9.375,32.93267,0.99064,25.2
173.267,2661.5,42.8,23.25,2.34375,-9.375,32.93267,0.99064,25.2
173.892,2654,42.8,23.25,-2.34375,-9.375,32.93267,0.99796,25.2
174.538,2639,42.8,22,-3.90625,-9.375,32.93267,1.00674,25.2
175.264,2630.5,42.8,20.25,-2.34375,-9.375,32.93267,1.01431,25.2
175.935,2607.75,42.8,21,0,-9.375,32.93267,0.9921,25.2
176.535,2601,42.8,22.75,-2.34375,-9.375,32.93267,0.99796,25.2
177.156,2598.5,42.8,24.75,1.5625,-9.375,32.3113,1.00113,25.2
177.876,2615,42.8,25.75,0.78125,-9.375,32.3113,0.9921,25.2
178.504,2628.75,42.8,25,-0.78125,-9.375,32.93267,0.9965,25.2
179.121,2626.5,42.8,24.5,0.78125,-9.375,32.93267,0.99357,25.2
179.704,2657,42.8,25.25,1.5625,-9.375,32.93267,0.99503,25.2
180.447,2687.5,42.8,25.25,1.5625,-9.375,32.93267,0.99357,25.2
181.07,2703.5,44.6,22,1.5625,-9.375,34.17542,1.01431,25.2
181.699,2708,44.6,17.75,-1.5625,-9.375,34.17542,1.01602,25.2
182.306,2707,44.6,18.5,0.78125,-9.375,34.17542,1.00943,25.2
183.004,2699.5,44.6,18.25,0.78125,-9.375,34.17542,0.9921,25.2
183.635,2681,42.8,14,0,-9.375,34.17542,1.0043,25.2
184.412,2662.75,42.8,12,-1.5625,-9.375,34.17542,1.00674,25.2
185.181,2628.75,42.8,11.5,-1.5625,-9.375,32.93267,1.00308,25.2
185.946,3000,42.8,10.25,3.125,-9.375,32.93267,1.01602,25.2
186.583,3667.25,42.8,15.25,4.6875,-9.375,31.68993,0.99503,25.2
187.222,3613.5,42.8,14.5,2.34375,-9.375,31.06856,1.00552,25.2
187.837,3555.75,42.8,14.25,2.34375,-9.375,29.82582,1.00552,25.2
188.549,3469.75,42.8,14,3.125,-9.375,29.82582,1.01602,25.2
189.194,3396.5,42.8,17.5,10.15625,-9.375,29.20445,0.97307,25.2
189.869,3322.25,42.8,25,4.6875,-9.375,28.58307,0.97942,25.2
190.51,3296.25,42.8,26.75,3.125,-9.375,27.9617,0.9921,25.2
191.256,3266.75,42.8,26.5,3.125,-9.375,27.9617,0.99503,25.2
191.869,3252,44.6,27.5,0,-9.375,27.9617,0.99942,25.2
192.511,3233.75,44.6,28.75,0,-9.375,26.71896,1.00796,25.2
193.128,3208.75,44.6,28.25,0,-9.375,26.71896,1.00796,25.2
193.899,3178.5,44.6,28.75,0,-9.375,26.71896,1.0043,25.2
194.537,3139.25,44.6,28.5,0.78125,-9.375,26.09759,0.98942,25.2
195.177,3092.25,44.6,33.75,-1.5625,-9.375,26.09759,0.9965,25.2
195.798,3106.5,44.6,35.5,0.78125,-9.375,26.09759,1.0043,25.2
196.529,3081.75,44.6,37.25,0.78125,-9.375,25.47622,0.99503,25.2
197.153,3102,46.4,37.25,1.5625,-9.375,25.47622,0.98942,25.2
197.804,3121.25,46.4,37,0.78125,-9.375,26.09759,0.9965,25.2
198.445,3119.25,46.4,37.25,1.5625,-9.375,26.09759,0.99357,25.2
199.18,3114.25,46.4,37.5,-2.34375,-9.375,26.09759,1.01089,25.2
199.803,3126.5,48.2,36.25,-2.34375,-9.375,26.09759,1.01431,25.2
200.638,3114.75,48.2,30.5,0,-9.375,26.09759,1.0043,25.2
201.428,3054.75,48.2,27.25,-1.5625,-9.375,26.09759,0.9921,25.2
202.281,3000.5,48.2,24,1.5625,-9.375,25.47622,0.97795,25.2
203.379,2882.25,46.4,20,-3.90625,-9.375,24.85485,1.00943,25.2
204.027,2608,46.4,9.5,-12.5,-9.375,23.6121,0.8906,25.2
204.725,1560.75,46.4,4.25,0,-9.375,21.74799,1.38494,25.2
205.485,1210.75,46.4,3.25,0,-9.375,19.88388,1.0453,25.2
206.092,959.75,44.6,3,0,-9.375,17.39839,1.00113,25.2
206.717,798.25,44.6,3.25,0,-9.375,15.53428,0.99503,25.2
207.408,773,44.6,3,1.5625,-9.375,13.67017,0.99796,25.2
208.195,754,44.6,3,1.5625,-9.375,11.18468,0.99503,25.2
208.825,777.5,46.4,3,-3.90625,-9.375,8.07783,1.00113,25.2
209.433,772.25,46.4,3,-3.125,-9.375,4.97097,1.0126,25.2
210.107,780,46.4,3,-2.34375,-9.375,3.72823,1.01431,25.2
210.813,1169.75,46.4,8.75,0,-9.375,3.10686,0.96063,25.2
211.439,905,46.4,12.25,0,-9.375,1.86411,1.02944,25.2
212.039,597.5,46.4,7.5,0,-9.375,3.10686,1.18584,25.2
212.703,766.5,46.4,9.5,0,-9.375,4.3496,1.19658,25.2
213.441,1001.5,46.4,12.25,0,-9.375,6.21371,1.01431,25.2
214.065,1325.5,44.6,13.5,0,-9.375,7.45645,0.97942,25.2
214.676,1615.5,44.6,9.25,0,-9.375,10.56331,1.11191,25.2
215.28,1814.25,44.6,9.5,0,-9.375,13.04879,1.11191,25.2
216.001,1987.5,44.6,10.5,0,-9.375,14.29154,1.07043,25.2
216.635,2158.25,42.8,10.25,0,-9.375,16.15565,1.04944,25.2
217.27,2343.25,42.8,10.75,0,-9.375,17.39839,1.0226,25.2
217.897,2486.5,42.8,12.5,0,-9.375,19.26251,0.97942,25.2
218.611,2647.5,42.8,12.75,0,-9.375,20.50525,0.97795,25.2
219.276,2802.25,44.6,12.75,3.125,-9.375,22.36936,1.01089,25.2
219.907,2929,44.6,9.75,3.125,-9.375,23.6121,0.98552,25.2
220.549,3026.5,44.6,7.5,4.6875,-9.375,24.85485,1.01431,25.2
221.248,3054.75,44.6,8,9.375,-9.375,25.47622,1.0043,25.2
221.872,3101.25,44.6,8.25,3.125,-9.375,25.47622,0.97942,25.2
222.556,3146.5,44.6,8.25,3.125,-9.375,26.09759,1.01943,25.2
223.185,3190.75,44.6,8.25,2.34375,-9.375,26.09759,1.00308,25.2
223.947,3241,44.6,8.25,0.78125,-9.375,26.71896,1.01943,25.2
224.661,3268.25,44.6,8.75,2.34375,-9.375,26.71896,1.00552,25.2
225.379,3321.5,44.6,8.5,7.03125,-9.375,27.9617,0.97673,25.2
226.035,3372.25,44.6,9.25,7.03125,-9.375,27.9617,0.98796,25.2
226.747,3416,44.6,9.25,2.34375,-9.375,28.58307,0.98942,25.2
227.395,3444.25,44.6,9.25,0,-9.375,28.58307,1.99882,25.2
228.004,3462.5,44.6,9.25,0,-9.375,28.58307,1.99882,25.2
228.674,3478.5,44.6,9.25,0,-9.375,29.20445,1.99882,25.2
229.394,3497.25,44.6,9.25,0,-9.375,29.20445,1.99882,25.2
230.025,3539.75,44.6,9.5,0,-9.375,29.20445,1.99882,25.2
230.651,3552.75,44.6,9.5,0,-9.375,29.20445,1.99882,25.2
231.291,3582.75,44.6,9.25,0,-9.375,29.82582,1.99882,25.2
232.08,3609,44.6,9.75,0,-9.375,29.82582,1.99882,25.2
232.7,3668.75,44.6,9.75,0,-9.375,31.06856,1.99882,25.2
233.336,3735,44.6,9.75,0,-9.375,31.06856,1.99882,25.2
233.959,3772,44.6,10.25,0,-9.375,31.68993,1.99882,25.2
234.712,3834.75,44.6,10,0,-9.375,31.68993,1.99882,25.2
235.332,3885,44.6,10.25,0,-9.375,32.3113,1.99882,25.2
235.978,3943,44.6,10.5,0,-9.375,32.93267,1.99882,25.2
236.598,3999.25,44.6,10.5,0,-9.375,32.93267,1.99882,25.2
237.308,4036,44.6,11,0,-9.375,34.17542,1.99882,25.2
237.928,4082,44.6,10.5,0,-9.375,34.17542,1.99882,25.2
238.527,4125.75,44.6,11,0,-9.375,34.79679,1.99882,25.2
239.208,4164.75,44.6,11,0,-9.375,34.79679,1.99882,25.2
239.985,4175.25,44.6,11,0,-9.375,34.79679,1.99882,25.2
240.609,4208,44.6,11.25,0,-9.375,35.41816,1.99882,25.2
241.246,4230,44.6,11,0,-9.375,35.41816,1.99882,25.2
241.883,4260,44.6,11.25,0,-9.375,35.41816,1.99882,25.2
242.629,4282,44.6,11.5,0,-9.375,35.41816,1.99882,25.2
243.275,4319,44.6,11.75,0,-9.375,36.03953,1.99882,25.2
243.884,4329.5,44.6,11.5,0,-9.375,36.03953,1.99882,25.2
244.54,4353.5,44.6,11.75,0,-9.375,36.03953,1.99882,25.2
245.288,4361,44.6,12,0,-9.375,36.03953,1.99882,25.2
